Applicant Name,Job Role,Phone,Email,Companies Worked For,Years of Work Experience,Skills,Referees,LinkedIn Profile,Certifications,Education Background,Education Institutions
Alexandra Dorsey,"Technician, Consultant, Engineering, Manager",+1-424-497-1328,pamela38@example.org,"Electronics Engineering, Microsoft Office, Elec, E",11,"##pe, System, ##static Disc",Yes,https://linkedin.com/in/grayscott,Certifications,"Master, Bachelor, Bachelor, Master","Electronics Engineering, Microsoft Office, Elec, E"
Kevin Williams,Manager,(263)484-6290x451,amanda04@example.org,"CE, E, Disaster Preparedness Academy, Finance, Finance, Communications & Marketing, Finance, Finance, Investment Advisory Committees, Age, Desk",11,Microsoft Office,No,https://linkedin.com/in/ariel10,Certified Python,"Master, Bachelor","CE, E, Disaster Preparedness Academy, Finance, Finance, Communications & Marketing, Finance, Finance, Investment Advisory Committees, Age, Desk"
Alice Maxwell,Manager,2004-2006,taylorjohn@example.net,"Microsoft, X, Word, Power Point, Excel, Access, Vista, People Soft, Ensemble, Vantive / Newt, Agent Works, Web Client, TotalV, ##w, IEX, Internet Explorer, 1SourceCenter Connect, ICare, Call Support Tools, Amdocs, Exony & Cisco, City, State, Sprint Nextel Direct Service",18,"Office, ##P",No,https://linkedin.com/in/maryramirez,Certified Project Management,"Certificate, Certificate, Diploma","Microsoft, X, Word, Power Point, Excel, Access, Vista, People Soft, Ensemble, Vantive / Newt, Agent Works, Web Client, TotalV, ##w, IEX, Internet Explorer, 1SourceCenter Connect, ICare, Call Support Tools, Amdocs, Exony & Cisco, City, State, Sprint Nextel Direct Service"
C,Consultant,(580)883-5328x5147,john52@example.org,"Fitness Consultant Company, Company, Company, Middle, &, Athletic Department, Parks and Recreation Management, ##HWESTE, OKLAHOM, State Parks and Recreation Management, Criminal Justice Blinn College, SAAC, Council, Justice Texas A & M University, SAAC, Student Council, Bulldogs, Olympics, Oklahoma, Kappa, ##ilon, TX, Lions, Olympics, BR",18,Au,No,https://linkedin.com/in/regina49,"Certified, Training",Mastery,"Fitness Consultant Company, Company, Company, Middle, &, Athletic Department, Parks and Recreation Management, ##HWESTE, OKLAHOM, State Parks and Recreation Management, Criminal Justice Blinn College, SAAC, Council, Justice Texas A & M University, SAAC, Student Council, Bulldogs, Olympics, Oklahoma, Kappa, ##ilon, TX, Lions, Olympics, BR"
Donald Thomas,,(873)508-3495x62865,taraanderson@example.org,"Finance, Project, Con, State, Chicago School of Professional Psychology, State, Chicago School of Professional Psychology, State Bachelor of Science, Belmont University, Boeing St. Louis Leadership Association, Board of Directors, Tribute, Boeing Parents Network Co, Boeing, ##H, Boeing, Workshop, Lake, St, Chicago, Boeing University, Boeing",9,Cloud Computing,No,https://linkedin.com/in/nwilson,Training,"Master, Bachelor","Finance, Project, Con, State, Chicago School of Professional Psychology, State, Chicago School of Professional Psychology, State Bachelor of Science, Belmont University, Boeing St. Louis Leadership Association, Board of Directors, Tribute, Boeing Parents Network Co, Boeing, ##H, Boeing, Workshop, Lake, St, Chicago, Boeing University, Boeing"
Sara Stewart,"Specialist, Manager,",1988-1990,pottspaula@example.org,"##books, Ex, ##B, Creative Solutions, Da, Accounting",19,"Quick, ##cel, Microsoft Outlook, Microsoft Word, Excel",No,https://linkedin.com/in/wolfemark,Certified Cloud Computing,"Diploma, Diploma","##books, Ex, ##B, Creative Solutions, Da, Accounting"
Jacob Yang,"Specialist, Manager, Managers.",870.777.5522,cohenmark@example.com,"B, ##C, LiveEdit, ##S, Aurora",19,Microsoft Office Suite,Yes,https://linkedin.com/in/chloe27,"Certified, Certifications",Bachelor,"B, ##C, LiveEdit, ##S, Aurora"
Mark Schmidt,"Consultant, Manager, Manager., Specialist",442-731-1056,julie48@example.com,Office,13,Project Management,No,https://linkedin.com/in/andrelogan,Training,M.Sc. Data Science,Office
Logan Dodson,,(425)879-4774x2728,edward12@example.net,"Creative, Adobe, ##esign, Photo, ##op, Ex, PowerP, WordPress, State",11,"In, ##sh, Microsoft Word, ##cel, ##oint, Adobe Dreamweaver",Yes,https://linkedin.com/in/kbeck,Training,Bachelor,"Creative, Adobe, ##esign, Photo, ##op, Ex, PowerP, WordPress, State"
Christopher Martin,"Technician, Manager, Engineering, Engineer",628.218.6304x1198,nhughes@example.com,"Microsoft Office, Invent, Airmate Company, Process Tech, ##ian, Engineer, Stream, State, AP, ##P, P, ##EMA, Control Plans, Applications, Manufacturing Engineering, Company, Parker, EPA, Sigma, Associates",6,Cybersecurity,No,https://linkedin.com/in/abigaildavis,"Certification, Training",B.Sc. Computer Science,"Microsoft Office, Invent, Airmate Company, Process Tech, ##ian, Engineer, Stream, State, AP, ##P, P, ##EMA, Control Plans, Applications, Manufacturing Engineering, Company, Parker, EPA, Sigma, Associates"
Savannah Perez,Engineering,5056365029,mary74@example.com,"Design and Merchant, Design, Development, Merchants, Production Quality Assurance and Suppliers",20,"English, Spanish, Out, PD, IBM AS - 400",Yes,https://linkedin.com/in/karen85,Certified Cybersecurity,MBA,"Design and Merchant, Design, Development, Merchants, Production Quality Assurance and Suppliers"
Michael Tucker,"Consultant, Manager, Specialist",(684)214-5308x66803,hbell@example.org,"Marketing Communications, State Communications Consul, ##wares, ##ing, Businesses, DuPont Stone Care, Lowes, StoneT",2,Te,No,https://linkedin.com/in/bfriedman,Certified SQL,"Certificate, Bachelor","Marketing Communications, State Communications Consul, ##wares, ##ing, Businesses, DuPont Stone Care, Lowes, StoneT"
John Reid,,+1-927-681-5330,emmahoffman@example.com,"Realtor, Design, Paier, ID, Materials, & Bath, History, PCA, Paier Perspective, Interior Design Department, Dean, State Interior, State",7,"Business, of Interiors, Microsoft Office Model",No,https://linkedin.com/in/aleon,Courses,Diploma in IT,"Realtor, Design, Paier, ID, Materials, & Bath, History, PCA, Paier Perspective, Interior Design Department, Dean, State Interior, State"
Rowe,Manager,815-608-8287x31637,angelalopez@example.org,"G, ##PH, Holy Innocents ' High, De Anza College, De Anza College, Rutgers University",19,Data Analysis,No,https://linkedin.com/in/zacharyjohnson,Certified SQL,Ph.D. AI,"G, ##PH, Holy Innocents ' High, De Anza College, De Anza College, Rutgers University"
Alec Bradley,"Manager, Technician,, Engineer,, Technician, Specialist, Engineering",001-238-420-5436,michael62@example.net,"##NICI, Engineering, Microsoft Excel, Project, Visio Advanced, AutoCad Software, Project Management, Engineering, State Support, Tampa Electric Company, TEC, T, ##EC, T, ##EC, T, ##EC, State As",12,Cloud Computing,No,https://linkedin.com/in/duncanamanda,Certified,"Bachelors, Degree","##NICI, Engineering, Microsoft Excel, Project, Visio Advanced, AutoCad Software, Project Management, Engineering, State Support, Tampa Electric Company, TEC, T, ##EC, T, ##EC, T, ##EC, State As"
Jacqueline Lewis,"Specialist, Managers",(730)549-4086,kmunoz@example.org,"JD Edwards, Plains, Microsoft Excel A, Journal Entries, General, Research Sales & Trading Division, Market Research Healthcare Division, AP, AD, Edwards",1,SQL,No,https://linkedin.com/in/benjaminfowler,Certified Cloud Computing,Bachelor,"JD Edwards, Plains, Microsoft Excel A, Journal Entries, General, Research Sales & Trading Division, Market Research Healthcare Division, AP, AD, Edwards"
Matthew Serrano,Manager,(217)207-1769,dawnchase@example.com,"Smartpath, Project Tracker, S, ##harePoint, JIRA, Tempo, Google Analytics, SearchMart, Search Light, Kenshoo, SEOMoz, Google Adwords, AdRoll, Social Media Marketing St",10.0,"Mac, Microsoft Windows, Vista, Microsoft Office",No,https://linkedin.com/in/austinroberts,"Training., Certification,, Certifications, Trainingas",B.Tech Mechanical,"Smartpath, Project Tracker, S, ##harePoint, JIRA, Tempo, Google Analytics, SearchMart, Search Light, Kenshoo, SEOMoz, Google Adwords, AdRoll, Social Media Marketing St"
Kerry Morales,"Consultant, Engineer, Engineering, Engineers",828.587.7150,tonyeaton@example.com,"SEC, US Department of Energy, Landmark N, Eclipse, Arc, MS, MS, University, Florida, European Union, Green, EU",15,"English, French, Fe, ##us",No,https://linkedin.com/in/millerderek,"Course, Course,, Training",B.Sc. Computer Science,"SEC, US Department of Energy, Landmark N, Eclipse, Arc, MS, MS, University, Florida, European Union, Green, EU"
Kevin Jones,Consultant,+1-929-510-7374,mbailey@example.net,"Rep, State",19,Windows XP,Yes,https://linkedin.com/in/brandon39,Certified Python,"Bachelor's, Degree","Rep, State"
Vanessa Black,Specialist,566.595.7879x159,matthewcantu@example.net,"States Air Force Reserve, Final Cut, Adobe, Air Force, Defense Logistics Agency, ThisWeek, Social Media",17.0,"9, 11, Pro, Creative Cloud, Operation New Dawn, Operation Enduring Freedom, Meritorious Service Medal",No,https://linkedin.com/in/sandra74,"Coursework, Training",Bachelor,"States Air Force Reserve, Final Cut, Adobe, Air Force, Defense Logistics Agency, ThisWeek, Social Media"
Jennifer Johnson,"Manager, Manager/Director, Consultant, Consultants, Manager/Senior, Analysts, Analyst",+1-465-569-4316x066,jasonthompson@example.net,"Finance Leader, Human Resources and Business Leaders, Services Group, Trust, State, Treasury, Senior Management",14,Project Management,No,https://linkedin.com/in/sroberts,"Training,, Certifications",Ph.D. AI,"Finance Leader, Human Resources and Business Leaders, Services Group, Trust, State, Treasury, Senior Management"
Marcus Guzman,"Consultant, Analyst",4348796570,robertrobinson@example.org,"P & L, State, IT Services Division, Oracle",12.0,Machine Learning,No,https://linkedin.com/in/braunjohn,Certified Project Management,Bachelor,"P & L, State, IT Services Division, Oracle"
Joshua Young,"Manager, Analyst, Specialist,, Specialist",+1-301-420-7388x4782,joseph09@example.net,"State Montclair State University, Advancement, Division, University, Newark",8,Catholic,No,https://linkedin.com/in/sheilanorton,Certified Machine Learning,Diploma in IT,"State Montclair State University, Advancement, Division, University, Newark"
Karina Gonzalez,,850-838-0780x3852,gwhitehead@example.net,"##IT, Health Unit, B",4,Microsoft Office,No,https://linkedin.com/in/tony16,Certified Cybersecurity,"Diploma, Diploma, Diploma,","##IT, Health Unit, B"
Julie Ward,"Engineers, Engineer, Engineering/Minor, Inc./Technician, Engineering",+1-953-361-1928x56257,danielhubbard@example.com,"##pa, MS Office, Word, ##cel, PowerPoint, AD, State Roadway, KDOT, MoDOT, Q",16.0,3D,No,https://linkedin.com/in/upeters,"Coursework, Training, [Course","Bachelor, Bachelor","##pa, MS Office, Word, ##cel, PowerPoint, AD, State Roadway, KDOT, MoDOT, Q"
Jessica Lopez,"Manager, Consultant, Engineer,, Analyst,, Developer, Analyst",+1-249-689-1971x678,randysmith@example.net,"##buted Computing Environment, University of Pittsburgh, University of Pittsburgh, Operating Systems, AJA, State Operations, Red Hat",14,"Computer Science, C, C + +, Java, SQL, H, ##L SQL, JavaScript, C, C + +, Java, United States Patent, United States, Method, ##mote Workstation, Di, ASP, P, ##HP, SQL, P, MySQL, SQL Server, C, NE, ##X, C, ##asi, Rusco Picture Perfect, C, SQL, Picture Perfect, Linux, ##HP",No,https://linkedin.com/in/marypeterson,Courses,"Master's, Master, Master, Bachelor, Bachelor","##buted Computing Environment, University of Pittsburgh, University of Pittsburgh, Operating Systems, AJA, State Operations, Red Hat"
William Diaz,Manager,507.855.3001x163,masonmegan@example.com,"Reynolds & Reynolds, UCS, ##T, State",14,Cloud Computing,Yes,https://linkedin.com/in/hughesheidi,Certified Cybersecurity,Bachelors,"Reynolds & Reynolds, UCS, ##T, State"
Denise Blackburn,,259-284-4570x54083,patriciachandler@example.org,"SAAS, Microsoft Access, Excel, Word, Power Point, InDesign, Adobe Photoshop, Salesforce, Quicken, State, Josten, Josten, Digital Media, Cars. com",20,Python,No,https://linkedin.com/in/tiffany20,Certified Machine Learning,Bachelor,"SAAS, Microsoft Access, Excel, Word, Power Point, InDesign, Adobe Photoshop, Salesforce, Quicken, State, Josten, Josten, Digital Media, Cars. com"
Bianca Brooks,Specialist,2010-2014,uwagner@example.net,"Profile Creative, American Greetings, Current Videographer, State, Current Digital Media Specialist, State, LCE, LC Explorer, Facebook, Twitter, In, ##stagram, LC Explorer, Emerge, LC Explorer, L, Em, Inc, State, Akron, Beacon, Youngstown, Inter, State",3,Data Analysis,No,https://linkedin.com/in/heatherlandry,Certified Cloud Computing,Bachelor,"Profile Creative, American Greetings, Current Videographer, State, Current Digital Media Specialist, State, LCE, LC Explorer, Facebook, Twitter, In, ##stagram, LC Explorer, Emerge, LC Explorer, L, Em, Inc, State, Akron, Beacon, Youngstown, Inter, State"
Nancy Smith,"Consultant, Manager, Engineering",696-629-5640x57483,lgutierrez@example.net,"##P, H, ##ion Enterprise, ##yper, ##P, ##P, Daly & Wolcott, Great Plain Dynamics, Lawson MacPac, ##Glo, Oracle, PeopleSoft, ##Book, ##sight Sage, ##QL, F, &, A. T. Cross, A. T. Cross",1,Data Analysis,No,https://linkedin.com/in/zabbott,Certified Data Analysis,"Master, Bachelor","##P, H, ##ion Enterprise, ##yper, ##P, ##P, Daly & Wolcott, Great Plain Dynamics, Lawson MacPac, ##Glo, Oracle, PeopleSoft, ##Book, ##sight Sage, ##QL, F, &, A. T. Cross, A. T. Cross"
Anne Alexander,"Manager, Consultant, Engineer/Project, Engineer, Engineer,, Analyst/Director, Analyst",2000-2012,dannycollins@example.org,"Exchange, ##W, ##Sphere, ESX, Amazon Web Services, EC2, S3, CloudFront, Glacier, RDS, MySQL, MS SQL, Linux, 6, Apple IOS, SonicWall, Office, MS Office, RDP, Putty, SuccessW, MS Exchange, MS, ##QL, SuccessWare21, S, ##ymantec Backup Exec, Kaspersky V, Protection, Sonic Fire, Tad, ##n PBX, A, ##EONIX, Center, CSI, V, Accounting, I, Planning",15,"ASP, Windows Server, Active Directory, Windows Desktop O, S. 7, 10, Server, VM, ##are, Ce, ##s, Windows Active Directory Network, Windows NT 4, 0, Windows, S, ##wall, Windows, ##OS, Windows Networking, Active Directory",No,https://linkedin.com/in/thomasdonna,"Certified,, Certified, Certifications, Training","Diploma, Degree","Exchange, ##W, ##Sphere, ESX, Amazon Web Services, EC2, S3, CloudFront, Glacier, RDS, MySQL, MS SQL, Linux, 6, Apple IOS, SonicWall, Office, MS Office, RDP, Putty, SuccessW, MS Exchange, MS, ##QL, SuccessWare21, S, ##ymantec Backup Exec, Kaspersky V, Protection, Sonic Fire, Tad, ##n PBX, A, ##EONIX, Center, CSI, V, Accounting, I, Planning"
Donna Gomez,"Consultant, Manager",(853)865-4862,timothy26@example.com,"Works, Core, Draw Graphic, Art Company, Microsoft Office, State",10,Python,No,https://linkedin.com/in/thomas89,Courses,MBA,"Works, Core, Draw Graphic, Art Company, Microsoft Office, State"
Heather Kim,,827-309-4819,michaelsloan@example.com,"##DI, ##ry Communications, Customer Service, City, State Key, City, State, Facebook, Twitter, In, ##gram, Tu, ##r, Pinterest, Re, City, State Assist, Prairie, State, Communication, Microsoft",3,Microsoft Office,No,https://linkedin.com/in/bonnievincent,Certified Project Management,B.Sc. Computer Science,"##DI, ##ry Communications, Customer Service, City, State Key, City, State, Facebook, Twitter, In, ##gram, Tu, ##r, Pinterest, Re, City, State Assist, Prairie, State, Communication, Microsoft"
Kevin Cervantes,"Manager, Managers, Consultant, Developers,, Engineers,, Engineering",1986-1989,laurenwebb@example.com,"Design, Construction, Construction, Design, Management, State, Program Management, Owners and Architects, Management, Cost Consulting Services, ##ers and Architects, Higher Education, 12, Healthcare Projects, ##ors, Manager, Institutions, Engineers, Sub, ##tractors, State of Texas Emergency",7,Machine Learning,No,https://linkedin.com/in/mark01,Certified Python,M.Sc. Data Science,"Design, Construction, Construction, Design, Management, State, Program Management, Owners and Architects, Management, Cost Consulting Services, ##ers and Architects, Higher Education, 12, Healthcare Projects, ##ors, Manager, Institutions, Engineers, Sub, ##tractors, State of Texas Emergency"
James Gomez,"Manager, Engineer, Manager/Safety, Technician, Engineering",(418)484-5372x1924,berryjanet@example.org,"Industrial Automation and Process Engineering, Siemens PLC, ##AD, Bradley",20.0,Project Management,No,https://linkedin.com/in/mcclurealex,"Certification, Course, Coursework","Certificate, Diploma","Industrial Automation and Process Engineering, Siemens PLC, ##AD, Bradley"
Tyler Richards,"Consultant, Technician",(792)343-3997,kimberly08@example.com,"State, State, Computer Technician, State, Computer Technician, State, Thomas College, Masters of Education, State Thomas College, Computer Information Systems, State Computer Information Systems, ##TI",2,"MS Windows, Office, MS Windows",No,https://linkedin.com/in/davidhoover,"Certification., Certification, Certification,","Masters, Bachelor","State, State, Computer Technician, State, Computer Technician, State, Thomas College, Masters of Education, State Thomas College, Computer Information Systems, State Computer Information Systems, ##TI"
Christina Howell,Engineering,2014-2015,palmerchad@example.com,"National Architectural Acc, ##iting Board, Architectural Design & Conservation, PR, 21st Century Project, PR, Santiago Veve Calzada",11,BIM Standards,No,https://linkedin.com/in/patrick18,Certified Python,"Master, Bachelor","National Architectural Acc, ##iting Board, Architectural Design & Conservation, PR, 21st Century Project, PR, Santiago Veve Calzada"
Jesse Cook,"Engineering, Manager/CAD",327-630-8391x58438,josephvaughan@example.net,"Shipping Company, Grandview High School, Pickens Technical College",12,"S, ##chu, Pro, USA",No,https://linkedin.com/in/brittney42,Certifications,"Certificate, Certificate, Certificate, Certificate, Certificate, Certificate, Certificate","Shipping Company, Grandview High School, Pickens Technical College"
Christopher Conley,"Consultant, Manager",+1-467-349-7865x99707,williamsmathew@example.net,"Positioning & Communications, Media Relations, Thought Leadership and Content Development, Executive Platform Development, ##writing, Social Strategy, Speakers ' Bureau, City, State, Name City, State, Name City, State, Deloitte Tax and Audit, Deloitte LLP, Deloitte Growth Enterprise Services, Deloitte Consulting, Deloit, ##te Human Capital, Deloitte Strategy & Operations, Deloitte Consulting, Del, Forbes, Del, ##yan, Exchange, Del, Services, Del, SA, Services",15.0,Machine Learning,No,https://linkedin.com/in/johnny26,Certified Python,"Master, Bachelor","Positioning & Communications, Media Relations, Thought Leadership and Content Development, Executive Platform Development, ##writing, Social Strategy, Speakers ' Bureau, City, State, Name City, State, Name City, State, Deloitte Tax and Audit, Deloitte LLP, Deloitte Growth Enterprise Services, Deloitte Consulting, Deloit, ##te Human Capital, Deloitte Strategy & Operations, Deloitte Consulting, Del, Forbes, Del, ##yan, Exchange, Del, Services, Del, SA, Services"
Ana Lambert,"Consultant, Manager, ManagerÂ",613.665.1780x827,rford@example.net,"Microsoft, State, State",12,the,No,https://linkedin.com/in/jacksonnicole,Certified SQL,"Diploma, Bachelors, Diploma, Diploma","Microsoft, State, State"
Edward Herman,"Technician, Manager, Technicians, Specialist",602.911.3391,swilson@example.org,"State, State",5,Cybersecurity,Yes,https://linkedin.com/in/ronald85,"Certifications, Coursework","Bachelors, Degree, Certificate, Certificate, Certificate","State, State"
Daniel Merritt,"Consultant, Engineer, Engineering, Engineering;",001-359-851-3913x369,granthawkins@example.com,"##PA, Electrical Engineer, Electrical Engineering, Government Programs Development, Integration, E",15.0,Python,No,https://linkedin.com/in/lance90,Training,Bachelor,"##PA, Electrical Engineer, Electrical Engineering, Government Programs Development, Integration, E"
Rita Zimmerman,"Engineering,, Engineer, Manager,, Engineer/CREO, Engineering, ProEngineer/CREO,",001-900-264-9437x715,qsparks@example.com,"MiniT, MS Office Suite, MS Project, MS, In, Mo, ##wise, ##we, Quality Engineering, State, Quality Engineering Team, Complaints Department, Metrology Department, Alcon, NCR Investigations, CAPA, Process Engineering and Automation Groups, State Process Control, Re, Process Engineering and Automation Groups, Alcon",14.0,Project Management,No,https://linkedin.com/in/frankfox,Certified Machine Learning,"Master, Bachelor","MiniT, MS Office Suite, MS Project, MS, In, Mo, ##wise, ##we, Quality Engineering, State, Quality Engineering Team, Complaints Department, Metrology Department, Alcon, NCR Investigations, CAPA, Process Engineering and Automation Groups, State Process Control, Re, Process Engineering and Automation Groups, Alcon"
Andrew Lopez,"Consultant, Manager",(862)679-0016x66882,dawnchang@example.com,"##cel, Microsoft Office, Print, Rail Cars, Demura, and Switching Billing, Company, Chrysler Automotive McDonald Aircraft Co, Long, DC 8 Aircraft General Telephone Co, Long, Central Office Computers Tech, and Training, Tulos, Corpus Christi Texas Diploma San Jacinto College Pasadena Texas, General Telephone Long, DC 8, Excel, Microsoft Office, Office, Read, San, Sc",17,Data Analysis,No,https://linkedin.com/in/cheryl74,Training,Diploma,"##cel, Microsoft Office, Print, Rail Cars, Demura, and Switching Billing, Company, Chrysler Automotive McDonald Aircraft Co, Long, DC 8 Aircraft General Telephone Co, Long, Central Office Computers Tech, and Training, Tulos, Corpus Christi Texas Diploma San Jacinto College Pasadena Texas, General Telephone Long, DC 8, Excel, Microsoft Office, Office, Read, San, Sc"
Victor Orr II,Specialist,2748302945,ityler@example.com,"IKEA Sunrise, IKEA, National, IKEA, IKEA",2,"Marketing, Tour, Tour",No,https://linkedin.com/in/david02,Certified Cloud Computing,"Bachelor's, Degree, Bachelor","IKEA Sunrise, IKEA, National, IKEA, IKEA"
Scott Te,"Specialist, Manager",001-490-250-0529,austincindy@example.org,"Excel & Office, Golden Boy Promotions, GBP, Digital, Department of Rehabilitation, DOR, Job Exchange",15.0,"Native American, Latino, Microsoft Word, ESL, English, American",No,https://linkedin.com/in/andreawalker,"Certification, Training",Bachelors,"Excel & Office, Golden Boy Promotions, GBP, Digital, Department of Rehabilitation, DOR, Job Exchange"
Joann Thomas,Manager,(875)663-1605x03290,plynch@example.net,"InDesign, Il, Case, Advertising and Public Relations, Or, Desktop Publishing, Masters project, Adobe",7,"Mandarin Chinese, Computer Knowledge, Word, Excel MS PowerPoint, Out, Windows 7, Mac OSX, AD, Research of, ##eo Campaign",No,https://linkedin.com/in/hrice,Coursework,"-Masters, Master, Bachelor","InDesign, Il, Case, Advertising and Public Relations, Or, Desktop Publishing, Masters project, Adobe"
Tracy Lee,"Engineer, Manager, Engineering",656.389.0449x52706,ryanstewart@example.com,"Samsung, Intel, E, La, An, E, D, K, Hercules, Caliber, Assu, ICC, Chip, Apr, V, ESD, La, Voltrace, S, ##ity, IC, Aricent Inc, Intel USA, Genesy, Intel, L, ##O, Qualcomm Pvt Ltd India, R, Samsung, Samsung, FF",6,Assembly,No,https://linkedin.com/in/veronicanelson,Training,Bachelor,"Samsung, Intel, E, La, An, E, D, K, Hercules, Caliber, Assu, ICC, Chip, Apr, V, ESD, La, Voltrace, S, ##ity, IC, Aricent Inc, Intel USA, Genesy, Intel, L, ##O, Qualcomm Pvt Ltd India, R, Samsung, Samsung, FF"
Tommy Trojan,Consultant,001-792-407-5179x565,aweaver@example.net,"Social, Kaiser Permanente, ##C, Social, Organization, Planning, and Administration, University of Southern California, State, School of Social Work Community, Organization, Planning, and Administration, School of Social, Loyola, Garfield",12,"InterQual, Me, ##dicare, Me, ##dicaid, Me, ##di, ##al, Security",No,https://linkedin.com/in/uellis,Certification,"Masters, Masters, Bachelors","Social, Kaiser Permanente, ##C, Social, Organization, Planning, and Administration, University of Southern California, State, School of Social Work Community, Organization, Planning, and Administration, School of Social, Loyola, Garfield"
